,loss,r2,learning_rate,epochs,batch_size,virtual_batch_size
4,83.65936630051104,0.24090294595333128,0.001,50.0,512.0,128.0
5,83.65936630051104,0.24090294595333128,0.001,50.0,512.0,256.0
6,83.65936630051104,0.24090294595333128,0.001,100.0,512.0,128.0
7,83.65936630051104,0.24090294595333128,0.001,100.0,512.0,256.0
0,83.75965096686062,0.2399929964980776,0.001,50.0,256.0,128.0
1,83.75965096686062,0.2399929964980776,0.001,50.0,256.0,256.0
2,83.75965096686062,0.2399929964980776,0.001,100.0,256.0,128.0
3,83.75965096686062,0.2399929964980776,0.001,100.0,256.0,256.0
8,83.87674805484987,0.2389304967630116,0.005,50.0,256.0,128.0
9,83.87674805484987,0.2389304967630116,0.005,50.0,256.0,256.0
10,83.87674805484987,0.2389304967630116,0.005,100.0,256.0,128.0
11,83.87674805484987,0.2389304967630116,0.005,100.0,256.0,256.0
12,83.99668651689696,0.2378422153519405,0.005,50.0,512.0,128.0
13,83.99668651689696,0.2378422153519405,0.005,50.0,512.0,256.0
14,83.99668651689696,0.2378422153519405,0.005,100.0,512.0,128.0
15,83.99668651689696,0.2378422153519405,0.005,100.0,512.0,256.0
