,loss,r2,learning_rate,batch_size,virtual_batch_size,n_epochs,n_d,n_a,n_steps,n_independent,n_shared,gamma
8,70.75628701794761,0.35718913151133025,0.005,256.0,128.0,200.0,64.0,16.0,3.0,2.0,2.0,1.5
1,71.63860990710069,0.3491733527506379,0.005,256.0,128.0,200.0,32.0,16.0,3.0,2.0,3.0,1.5
26,74.84982127203816,0.3199999512990813,0.005,512.0,128.0,200.0,64.0,16.0,3.0,3.0,2.0,1.5
2,77.4729651929494,0.2961690594725497,0.005,256.0,128.0,200.0,32.0,16.0,3.0,3.0,2.0,1.5
11,78.2319793629831,0.2892735229994331,0.005,256.0,128.0,200.0,64.0,16.0,3.0,3.0,3.0,1.5
29,78.34970638802918,0.28820398961372473,0.005,512.0,128.0,200.0,64.0,32.0,3.0,2.0,3.0,1.5
5,78.35034142000617,0.2881982204379545,0.005,256.0,128.0,200.0,32.0,32.0,3.0,2.0,3.0,1.5
15,78.562105668962,0.28627437216208873,0.005,256.0,128.0,200.0,64.0,32.0,3.0,3.0,3.0,1.5
30,79.05779701077184,0.28177108637138193,0.005,512.0,128.0,200.0,64.0,32.0,3.0,3.0,2.0,1.5
10,79.31557970151452,0.2794291670550727,0.005,256.0,128.0,200.0,64.0,16.0,3.0,3.0,2.0,1.5
0,79.45419650233988,0.27816985300849095,0.005,256.0,128.0,200.0,32.0,16.0,3.0,2.0,2.0,1.5
9,79.48861224406575,0.2778571908584423,0.005,256.0,128.0,200.0,64.0,16.0,3.0,2.0,3.0,1.5
12,79.82769596752871,0.2747766631490911,0.005,256.0,128.0,200.0,64.0,32.0,3.0,2.0,2.0,1.5
28,79.88516187903838,0.27425459346393866,0.005,512.0,128.0,200.0,64.0,32.0,3.0,2.0,2.0,1.5
21,80.08848408948367,0.2724074399149371,0.005,512.0,128.0,200.0,32.0,32.0,3.0,2.0,3.0,1.5
19,80.28204994489033,0.2706489214727221,0.005,512.0,128.0,200.0,32.0,16.0,3.0,3.0,3.0,1.5
7,80.30978316647663,0.27039696907378763,0.005,256.0,128.0,200.0,32.0,32.0,3.0,3.0,3.0,1.5
4,80.44395395042542,0.2691780464622314,0.005,256.0,128.0,200.0,32.0,32.0,3.0,2.0,2.0,1.5
23,81.0514034976424,0.2636594531687402,0.005,512.0,128.0,200.0,32.0,32.0,3.0,3.0,3.0,1.5
18,81.10716097272939,0.2631529043870564,0.005,512.0,128.0,200.0,32.0,16.0,3.0,3.0,2.0,1.5
31,81.11822930435045,0.263052350158423,0.005,512.0,128.0,200.0,64.0,32.0,3.0,3.0,3.0,1.5
16,82.27163430214654,0.2525738287492313,0.005,512.0,128.0,200.0,32.0,16.0,3.0,2.0,2.0,1.5
14,83.0598783929539,0.24541274257657186,0.005,256.0,128.0,200.0,64.0,32.0,3.0,3.0,2.0,1.5
6,84.30996237180683,0.2340559062868668,0.005,256.0,128.0,200.0,32.0,32.0,3.0,3.0,2.0,1.5
17,84.33713255986723,0.23380906896794873,0.005,512.0,128.0,200.0,32.0,16.0,3.0,2.0,3.0,1.5
25,84.83199526829969,0.22931331119437537,0.005,512.0,128.0,200.0,64.0,16.0,3.0,2.0,3.0,1.5
22,85.0555995796998,0.22728189762440587,0.005,512.0,128.0,200.0,32.0,32.0,3.0,3.0,2.0,1.5
20,85.21819588517694,0.2258047331667754,0.005,512.0,128.0,200.0,32.0,32.0,3.0,2.0,2.0,1.5
13,85.41507160487424,0.22401614507522039,0.005,256.0,128.0,200.0,64.0,32.0,3.0,2.0,3.0,1.5
3,85.82181337461297,0.2203209535766889,0.005,256.0,128.0,200.0,32.0,16.0,3.0,3.0,3.0,1.5
27,85.85043833211311,0.2200608998829945,0.005,512.0,128.0,200.0,64.0,16.0,3.0,3.0,3.0,1.5
24,88.39475138100093,0.1969461753886499,0.005,512.0,128.0,200.0,64.0,16.0,3.0,2.0,2.0,1.5
