,loss,r2,learning_rate,batch_size,epochs,virtual_batch_size,num_heads,num_attn_blocks,transformer_activation
3,4777460.262522944,-43401.55134845487,0.01,256,100,128,8,6,ReGLU
4,4777460.262522944,-43401.55134845487,0.01,256,100,128,8,6,GEGLU
5,4777460.262522944,-43401.55134845487,0.01,256,100,128,8,6,SwiGLU
9,4785061.524828018,-43470.607742308544,0.01,512,100,128,8,6,ReGLU
10,4785061.524828018,-43470.607742308544,0.01,512,100,128,8,6,GEGLU
11,4785061.524828018,-43470.607742308544,0.01,512,100,128,8,6,SwiGLU
6,4792988.221764445,-43542.6206637986,0.01,512,100,64,8,6,ReGLU
7,4792988.221764445,-43542.6206637986,0.01,512,100,64,8,6,GEGLU
8,4792988.221764445,-43542.6206637986,0.01,512,100,64,8,6,SwiGLU
0,4798365.386269923,-43591.471443445866,0.01,256,100,64,8,6,ReGLU
1,4798365.386269923,-43591.471443445866,0.01,256,100,64,8,6,GEGLU
2,4798365.386269923,-43591.471443445866,0.01,256,100,64,8,6,SwiGLU
